Target;Cq;SQ
Bettge;36.03;1
Bettge;37.56;1
Bettge;36.77;1
Bettge;36.35;1
Bettge;36.48;1
Bettge;36.96;1
Bettge;36.33;1
Bettge;36.62;1
Bettge;36.25;1
Bettge;36.09;1
Bettge;;0.3
Bettge;38.44;0.3
Bettge;37.23;0.3
Bettge;40.74;0.3
Bettge;38.75;0.3
Bettge;37.83;0.3
Bettge;39.44;0.3
Bettge;39.13;0.3
Bettge;39.28;0.3
Bettge;37.68;0.3
Bettge;;
Bettge;;
Bettge;;
Bettge;;
Hutchins;38.59;1
Hutchins;38.39;1
Hutchins;37.81;1
Hutchins;38.44;1
Hutchins;38.36;1
Hutchins;37.93;1
Hutchins;38.47;1
Hutchins;37.77;1
Hutchins;39.96;1
Hutchins;38.55;1
Hutchins;41.86;0.3
Hutchins;;0.3
Hutchins;40.44;0.3
Hutchins;40.66;0.3
Hutchins;39.7;0.3
Hutchins;40.04;0.3
Hutchins;39.25;0.3
Hutchins;40.93;0.3
Hutchins;40.62;0.3
Hutchins;39.1;0.3
Hutchins;;
Hutchins;;
Hutchins;;
Hutchins;;
Bettge;;0.1
Bettge;39.32;0.1
Bettge;41.17;0.1
Bettge;39.32;0.1
Bettge;41.14;0.1
Bettge;41.42;0.1
Bettge;;0.1
Bettge;39.97;0.1
Bettge;40.12;0.1
Bettge;41.75;0.1
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;0.03
Bettge;;
Bettge;;
Bettge;;
Bettge;;
Hutchins;;0.1
Hutchins;40.63;0.1
Hutchins;40.38;0.1
Hutchins;49.11;0.1
Hutchins;;0.1
Hutchins;39.13;0.1
Hutchins;40.22;0.1
Hutchins;39.39;0.1
Hutchins;;0.1
Hutchins;;0.1
Hutchins;;0.03
Hutchins;;0.03
Hutchins;40.89;0.03
Hutchins;;0.03
Hutchins;;0.03
Hutchins;;0.03
Hutchins;;0.03
Hutchins;;0.03
Hutchins;;0.03
Hutchins;41.98;0.03
Hutchins;;
Hutchins;;
Hutchins;;
Hutchins;;
Bettge;;0.01
Bettge;;0.01
Bettge;;0.01
Bettge;;0.01
Bettge;;0.01
Bettge;;0.01
Bettge;;0.01
Bettge;;0.01
Bettge;;0.01
Bettge;40.18;0.01
Bettge;;0.003
Bettge;47.96;0.003
Bettge;;0.003
Bettge;;0.003
Bettge;;0.003
Bettge;;0.003
Bettge;;0.003
Bettge;;0.003
Bettge;;0.003
Bettge;;0.003
Bettge;;
Bettge;;
Bettge;;
Bettge;;
Hutchins;;0.01
Hutchins;;0.01
Hutchins;;0.01
Hutchins;;0.01
Hutchins;;0.01
Hutchins;41.25;0.01
Hutchins;;0.01
Hutchins;;0.01
Hutchins;;0.01
Hutchins;;0.01
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;0.003
Hutchins;;
Hutchins;;
Hutchins;;
Hutchins;;
